,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release_Date,MPAA Rating,Running Time (min),Distributor,Source,Type,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
0,The Land Girls,146083,146083,NA,8000000,12-Jun-98,R,NA,Gramercy,NA,NA,NA,NA,NA,6.1,1071
1,"First Love, Last Rites",10876,10876,NA,300000,7-Aug-98,R,NA,Strand,NA,Drama,NA,NA,NA,6.9,207
2,I Married a Strange Person,203134,203134,NA,250000,28-Aug-98,NA,NA,Lionsgate,NA,Comedy,NA,NA,NA,6.8,865
3,Let's Talk About Sex,373615,373615,NA,300000,11-Sep-98,NA,NA,Fine Line,NA,Comedy,NA,NA,13,NA,NA
4,Slam,1009819,1087521,NA,1000000,9-Oct-98,R,NA,Trimark,Original Screenplay,Drama,Contemporary Fiction,NA,62,3.4,165
5,Mississippi Mermaid,24551,2624551,NA,1600000,15-Jan-99,NA,NA,MGM,NA,NA,NA,NA,NA,NA,NA
6,Following,44705,44705,NA,6000,4-Apr-99,R,NA,Zeitgeist,NA,NA,NA,Christopher Nolan,NA,7.7,15133
7,Foolish,6026908,6026908,NA,1600000,9-Apr-99,R,NA,Artisan,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,3.8,353
8,Pirates,1641825,6341825,NA,40000000,1-Jul-86,R,NA,NA,NA,NA,NA,Roman Polanski,25,5.8,3275
9,Duel in the Sun,20400000,20400000,NA,6000000,31-Dec-46,NA,NA,NA,NA,NA,NA,NA,86,7,2906
10,Tom Jones,37600000,37600000,NA,1000000,7-Oct-63,NA,NA,NA,NA,NA,NA,NA,81,7,4035
11,Oliver!,37402877,37402877,NA,10000000,11-Dec-68,NA,NA,Sony Pictures,NA,Musical,NA,NA,84,7.5,9111
12,To Kill A Mockingbird,13129846,13129846,NA,2000000,25-Dec-62,NA,NA,Universal,NA,NA,NA,NA,97,8.4,82786
13,"Tora, Tora, Tora",29548291,29548291,NA,25000000,23-Sep-70,NA,NA,NA,NA,NA,NA,Richard Fleischer,NA,NA,NA
14,Hollywood Shuffle,5228617,5228617,NA,100000,1-Mar-87,NA,NA,NA,NA,NA,NA,NA,87,6.8,1532
15,Over the Hill to the Poorhouse,3000000,3000000,NA,100000,17-Sep-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Wilson,2000000,2000000,NA,5200000,1-Aug-44,NA,NA,NA,NA,NA,NA,NA,NA,7,451
17,Darling Lili,5000000,5000000,NA,22000000,1-Jan-70,NA,NA,NA,NA,NA,NA,Blake Edwards,NA,6.1,858
18,The Ten Commandments,80000000,80000000,NA,13500000,5-Oct-56,NA,NA,NA,NA,NA,NA,NA,90,2.5,1677
